col_number,released_date,released_number,genre,title,metascore,budget,domesticboxoffice,totalworldwideboxoffice,profit,profit_margin,roi
74,1431043200000,2015,Comedy,Hot Pursuit,31,35000000,34580201,45680201,10680201,23.38037217,130.51486
75,1451001600000,2015,Drama,Concussion,56,35000000,34411070,43951069,8951069,20.365987,125.5744829
76,1424390400000,2015,Comedy,The DUFF,56,8500000,34030343,43528634,35028634,80.47262407,512.1015765
77,1427846400000,2015,Drama,Woman in Gold,51,11000000,33307793,56748181,45748181,80.61611878,515.8925545
78,1425600000000,2015,Comedy,The Second Best Exotic Marigold Hotel,51,10000000,33078266,84278266,74278266,88.13454468,842.78266
79,1429228800000,2015,Horror,Unfriended,59,1000000,32482090,62561449,61561449,98.40157155,6256.1449
80,1433289600000,2015,Comedy,Entourage,38,30000000,32363404,46225326,16225326,35.10051178,154.08442
81,1437696000000,2015,Drama,Paper Towns,56,12000000,32000304,85512300,73512300,85.96693107,712.6025
82,1425600000000,2015,Action,Chappie,41,49000000,31569268,105002056,56002056,53.33424709,214.2899102
83,1444953600000,2015,Horror,Crimson Peak,66,55000000,31090320,74456933,19456933,26.13179487,135.3762418
84,1441152000000,2015,Adventure,A Walk in the Woods,51,8000000,29499394,35166894,27166894,77.25133189,439.586175
85,1451001600000,2015,Action,Point Break,58,100000000,28782481,124959403,24959403,19.97400948,124.959403
86,1440115200000,2015,Horror,Sinister 2,32,10000000,27740955,52690149,42690149,81.02112029,526.90149
87,1445558400000,2015,Action,The Last Witch Hunter,34,80000000,27367660,131224840,51224840,39.03593253,164.03105
88,1440547200000,2015,Thriller/Suspense,No Escape,38,5000000,27288872,39157326,34157326,87.23099734,783.14652
89,1438905600000,2015,Drama,Ricki and the Flash,54,18000000,26822144,40107210,22107210,55.12028885,222.8178333
90,1420156800000,2015,Horror,The Woman in Black 2: Angel of Death,42,1000000,26501323,33501323,32501323,97.01504326,3350.1323
91,1426204800000,2015,Action,Run All Night,59,50000000,26461644,66961644,16961644,25.33038765,133.923288
92,1447372800000,2015,Comedy,Love the Coopers,31,18000000,26302731,42166991,24166991,57.3125813,234.2610611
93,1424995200000,2015,Horror,The Lazarus Effect,31,5000000,25801570,28101570,23101570,82.2073998,562.0314
94,1428624000000,2015,Thriller/Suspense,Ex Machina,78,13000000,25440971,38286379,25286379,66.04536564,294.5106077
97,1440115200000,2015,Action,Hitman: Agent 47,28,35000000,22467450,81967450,46967450,57.3001234,234.1927143
98,1422576000000,2015,Adventure,Project Almanac,47,12000000,22348241,32248241,20248241,62.78866807,268.7353417
100,1447977600000,2015,Thriller/Suspense,Secret in Their Eyes,80,20000000,20180155,29766734,9766734,32.81090226,148.83367
